article	summary
atlanta - publix super markets , continuing its expansion in the southeast , plans to enter birmingham , ala. , with five grocery stores .	publix plans to enter birmingham market
us personal incomes rose #.# percent in january , while spending rose #.# percent , the commerce department reported wednesday .	us income spending higher
a powerful spring storm ripped through central texas on tuesday , spinning off tornadoes that devastated several rural towns and left at least ## people confirmed dead and many others injured .	tornadoes devastate central texas towns
brushing your teeth is one of the most elementary aspects of good hygiene .	brushing teeth is only half the game
the german grand prix at hockenheim on sunday was the stuff that legends are made of , but not because michael schumacher won it and equaled his own record of ## formula one victories in one season .	schumacher wins again as the pack vies for #nd
brett favre is back in minnesota , stirring hope among vikings fans that he may be ready to play this season .	brett favre is back in minnesota
an explosion on a philippine airlines jet flying to tokyo killed one person , injured ## , blew a hole in the floor and set part of the ceiling on fire , japanese officials and witnesses said .	explosion aboard philippine airliner kills one
china refused to immediately comment on the shooting of taiwan president chen shui-bian friday , while the state-run press failed to report the story hours after it first broke .	no immediate reaction on chen shooting from beijing
a british judge on wednesday released a young mother from jail ## months after she tried to kill herself and her daughter by jumping from a bridge , saying he was acting from `` mercy .	british judge cites mercy in freeing UNK mother
placido domingo and woody allen did n't exactly sing a duet on the stage of the met .	the three tenors return in drag for domingo
northern russia could be in for a greater ecological disaster if cleanup of a huge oil spill is n't completed before spring thaws can push more oil into rivers and streams , a government commission said sunday .	commission says officials slow in dealing with oil spill
taiwan 's president presided over an anti-terror exercise sunday that replaced a live-fire military drill meant to simulate a chinese attack , amid warming ties with the mainland .	taiwan holds anti-terror drill not china war game
the ## million dollars left behind in egypt by palestinian premier ismail haniya after israel closed the gaza crossing was deposited into an arab league account monday , egypt 's mena agency said .	## million dollars for palestinians deposited in arab bank account
one of the many differences between human beings and computers is that computers do not have blind spots , as world chess champion vladimir kramnik did in game two of his match against the deep fritz software on monday .	late game blunder costs kramnik in loss to deep fritz chess software
formal peace talks between the sri lankan government and tamil tiger rebels will start on sept. ## in thailand , the norwegian foreign ministry announced late friday .	norway sets start date for sri lankan peace talks
chairman of the all-china federation of trade unions -lrb- acftu -rrb- wei jianxing met with francis UNK , general secretary of the central organization of trade unions of kenya , in beijing wednesday .	chinese kenyan heads of trade unions meet
nato peacekeepers in bosnia on saturday said they uncovered a huge stash of more than #,### mortars in a textile factory in the muslim part of mostar .	nato peacekeepers uncover huge mortar stash in bosnia
local authorities and nato-led peacekeepers have completed demining at the site where pope john paul ii is due to celebrate mass during his visit to bosnia next month , nato said friday .	demining complete on site where pope is to celebrate mass in bosnia
us president george w. bush wants american fighter planes to refuel in uganda while on anti- terrorism combat operations , reported government weekly sunday vision .	us wants warplanes to refuel in uganda
with the rapid growth of information storage of global enterprises , acer said monday it has started working with the u.s.-based brocade communications systems , inc. to meet the needs of world enterprises .	acer forms strategic cooperation alliance with brocade communications systems
three months after closing its new york headquarters , the financially hard-pressed joffrey ballet announced thursday that it had reorganized as a new company , the joffrey ballet of chicago .	joffrey reorganizes as chicago company
world oil prices dipped on friday , a day after us data showed the country 's crude stocks had declined less than expected , analysts said .	oil prices dip stay above ## dollars in london
i could tell you all the surprises that make the loopy documentary `` crazy love '' such an odd treat , but then i 'd be undermining the whole point of telling you to go .	UNK box crazy love cameras confer dubious notoriety
a gay singer in china has been arrested for murder after he allegedly killed six men in elaborate , sado-masochistic sex games that involved hanging his victims , a state-linked newspaper reported .	chinese man arrested for killing six men in gay sex games
us president george w. bush announced thursday he intends to nominate navy secretary gordon england to be deputy secretary of defense , the no. # civilian job at the pentagon .	bush names us navy secretary as deputy defense secretary
the vatican and greek orthodox churches joined in condemnation thursday for the european union 's draft constitution , slamming the absence of any mention in the text of europe 's christian roots .	church leaders criticise unholy draft eu constitution
brazilian president henrique cardoso will travel to mexico city to attend the ##th summit of the rio group scheduled for may ##-## , the brazilian foreign ministry said tuesday .	brazilian president to attend rio group summit
vice president al gore swept into the international talks on global warming here last week and , with a bit of drama , added a passage to his speech that was not in the prepared text .	clinton can now sing me and my shadow president
china will launch an improved model of long UNK rocket loading with two iridium satellites owned by us-based motorola inc during the first week of december , today 's china daily reported .	china to launch another # satellites next month
gold ended higher wednesday but prices pulled back sharply off of the day 's early gains as investors were overcome by a strengthening dollar and more bleak economic data .	gold ends higher other commodities tumble
the european parliament on tuesday adopted a legislative report recommending a revision of existing legislation on equal pay for men and women .	european parliament intends to narrow gender-based pay disparity
nine passengers were injured when a chinese jetliner taking off from shanghai for beijing made an emergency landing after its landing gear jammed , an airport official said friday .	nine injured in emergency jetliner landing in shanghai
the argentine government has decided to provide bolivia with ###,### doses of rabies vaccine to help it curb the spread of canine rabies , which has affected some parts of the country .	argentina donates rabies vaccine to bolivia
government buildings were briefly sealed off friday after a mailroom worker in the office of the prime minister opened an envelop containing white powder , officials said .	dutch prime minister 's office receives letter containing white
protestors called out `` bp kills '' and waved signs denouncing the british energy giant tuesday as the us congress opened its first hearing into the catastrophic oil spill in the gulf of mexico .	protests as us congress opens oil spill hearing
zairian president mobutu sese seko is in good health following his operation last summer for prostate cancer , two swiss newspapers reported wednesday .	report says zairian leader in good health despite operation
the leaders of russia and norway said tuesday they had reached a compromise on their arctic borders , ending a ##-year dispute over a region believed to contain vast oil and gas reserves .	russia norway agree arctic border compromise
he enjoys generous helpings of red braised pork , collects chinese fans and keeps an unapologetically patriotic blog .	mao s grandson rises in chinese military
the sri lankan navy sank four rebel vessels during a fierce battle off the island 's northwest coast wednesday , the military said .	# rebel boats sunk after fierce sea battle off sri lanka s northwest coast says military
raymond r. patterson , a poet , writer and professor emeritus of english at city college of the city university of new york , died on april # .	raymond patterson ## poet and professor
voters in this tiny island nation had a last chance saturday to say no to the european union , in parliamentary elections just four days before malta is supposed to sign an eu membership treaty and end decades of proud neutrality .	maltese vote could decide whether island nation joins european union
cuba has made the rural homestead where fidel and raul castro were born a national monument , state media reported tuesday .	cuba declares castro birthplace national monument
the chicago tribune on friday urged the judge presiding over former media mogul conrad m. black 's racketeering and fraud trial to release a list of those selected to serve on the jury .	chicago tribune urges conrad black trial judge to release list of jurors names
italian premier romano prodi won a confidence vote in the senate on wednesday , ensuring the survival of his center-left government .	prodi wins confidence vote in the senate
gold rose from its slumber this week , rallying to nine-month highs amid rising demand , falling mine output and expectations there wo n't be as much forward selling by producers to limit price rallies as last year .	gold rises to nine-month highs $ ### seen as likely soon
president fidel ramos today offered a prayer of thanksgiving and salute to philippine and american world war ii veterans .	ramos salutes world war ii veterans
the dollar rose against the yen and was steady against other major currencies as traders said they expect leaders of the group of seven big industrial nations to reaffirm support for a strong dollar .	dollar rises vs yen steady vs others as g-# statement awaited
the ministry of education sponsored a farewell party at the ministry wednesday for the first group of ## teachers that will go to thailand to teach chinese in a teacher 's university there .	#st group of chinese teachers to go to thailand
concerned that a wide variety of chinese vegetable protein products may be contaminated with the harmful compound melamine , the food and drug administration said tuesday that it would begin testing batches of six imported ingredients used as pet foods and livestock feed as well as additives to human food .	fda to test # chinese imports for melamine contamination
in face of the increase in violence in rio de janeiro , a famous tourist city in brazil , the armed forces will resume street patrols .	brazilian armed forces to resume street patrols
the chief executive of delphi , the big auto parts supplier , said monday that it might seek bankruptcy protection if it did not considerably reduce its labor costs , a development that could have severe consequences for the industry and its workers .	auto parts supplier seeks help from gm
south africa 's pan africanist congress -lrb- pac -rrb- president clarence makwetu today denied reports that he had left the party in debt .	makwetu denies leaving pac
u.s. military commanders across iraq say that a combination of foreign and indigenous islamic extremists have eclipsed loyalists of saddam hussein 's baath party as the dominant organizers and financiers of attacks on american and iraqi security forces and civilians .	iraq attacks blamed on islamic extremists
asia launched its version of soccer 's european champions league tuesday , hoping the region 's richest prize purse and surging interest following the world cup will help push local clubs to international standards .	asian football confederation launches new league with high hopes of #th world cup slot
the flood season has started one month earlier than usual on the xiangjiang and UNK rivers , both branches of the yangtze river , china 's longest .	flood season arrives early on middle reaches of yangtze
a union spokesman says workers at a general motors plant in brazil are staging slowdowns to protest the layoff of ### temporary workers .	workers protest layoffs at brazil gm plant
president bush beckoned a divided congress tuesday night to support a large and retroactive tax cut , declaring in a nationally televised address , `` the people of america have been overcharged and on their behalf , i am here to ask for a refund .	bush addresses congress on budget
a yemeni security official says a suicide bomber has hit a convoy carrying the south korean ambassador , but no one was hurt .	suicide bomber hits south korean convoy in yemen
raytheon co. told investors and analysts friday that it will dismiss about half of the #,### controllers the company will employ when it completes $ ##.# billion in defense acquisitions this year .	raytheon to fire half of #,### controllers after purchases
a muslim security guard at the madison hotel was told to stay away from the ##th floor of the hotel during a recent stay there by a senior israeli official , a muslim advocacy group said wednesday .	group says muslim guard mistreated
nepal said thursday a voluntary income declaration scheme had earned nearly eight million dollars for the impoverished kingdom , where development funds have been diverted to help crush a maoist insurgency .	nepal earns eight million dollars through voluntary tax scheme
china widened its lead over the u.s. as the world 's biggest auto market in january , with passenger car sales more than doubling to #.## million vehicles , an industry group reported tuesday .	china auto sales more than double in january
free art ... one b&amp;w photo of tori amos that accompanies this article is available by mail -lrb- or overnight delivery , using your fedex or airborne delivery number -rrb- at no extra charge .	tori 's quiet cult
thailand and laos will set up a joint tourism information center in UNK , southern city of laos , with the thai government to allocate a budget of # million baht -lrb- ##,### us dollars -rrb- to support the center .	thai-lao tourism information center to be set up
former teamsters boss ron carey was indicted thursday on charges of perjury and making false statements in connection with an investigation of fund-raising during his #### re-election campaign .	former teamsters boss carey indicted
petrochina company limited , a subsidiary of china 's largest oil producer china national petroleum corporation -lrb- cnpc -rrb- , on wednesday announced plans for a public offering of up to # billion a shares on the shanghai stock exchange .	petrochina announces shanghai listing plan
the coast of maine is probably better known for lobsters and UNK than rose gardens and flowering dogwood trees .	botanical gardens give flavor of maine
the emir of qatar , sheikh khalifa bin hamad al-thani , has been ousted by his son the crown prince in a coup , the official qna news agency reported tuesday .	son ousts qatari emir in coup
the mayor of ramat gan , an israeli town close to tel aviv , plans to evacuate the entire population of ###,### if iraq threatens missile strikes on israel , the daily yediot aharonot reported thursday .	israel mayor plans to evacuate whole town if iraq threatens missile strike
three mexican environmental inspectors and a local man were shot to death in central mexico as they checked on a complaint about pollution from mine tailings , authorities reported friday .	# environmental inspectors aide killed in mexico
west african leaders tuesday called on the ivory coast 's laurent gbagbo to yield power , recognized his rival as president and suspended the country from regional bloc ecowas , officials said .	west african bloc suspends i. coast urges gbagbo to quit
rather than complain about the lack of hispanic representation on network television , comedian paul rodriguez is doing something about it : he 's the host and producer of the abc special `` latin nights : an all-star celebration , '' which will air at # p.m. cdt saturday .	comedian paul rodriguez cracks hispanic barrier with latin
bipartisanship banner in hand , president bush returned to the texas capital for the first time since his inauguration to pay tribute friday to a democrat who was his political mentor .	bush pays tribute to bob bullock
los angeles dodgers manager joe torre wo n't have to worry about how to squeeze four outfielders into three spots for at least the next three days .	dodgers gain win lose outfielder jones
the arrival of barack obama in the white house presents the world with `` historic opportunities '' on key issues including climate change and terrorism , british prime minister gordon brown said tuesday .	british pm eyes historic opportunities for change with obama
with the social security system now as old as the retirees eligible to reap its benefits , george w. bush today was outlining his principles for reform -- including allowing younger workers to privately invest some of their payroll taxes .	bush drafts social security reforms
cliff robinson and rookie daniel santiago each scored ## points in the phoenix suns ' ###-## exhibition victory over the vancouver grizzlies on sunday night .	sunday oct. ## ####
sudanese leaders have agreed on a way out of the worst crisis so far in the implementation of a #### peace deal that ended the two-decade civil war between north and south , a southern official said on saturday .	sudan rivals agree way out of north-south crisis
with the u.s.-led war in afghanistan just over the horizon , secretary of state colin powell is meeting with pakistani officials on reopening military ties and to encourage a reduction in tensions with india over kashmir .	powell opens visit to pakistan to discuss reopening military ties leads with details on powell 's arrival local protests powell
president clinton on wednesday signed a bill to ensure that benefits received by disabled veterans keep up with inflation and another that provides the single largest increase in the ##-year history of the gi bill .	clinton signs bills to help vets
thai anti-government protesters have declared victory by forcing the cancellation of an asian summit and have withdrawn peacefully from the venue after breaking into the convention complex .	thai protesters declare victory in summit standoff
nestle sa nominated a ##-year-old belgian on thursday to take over as its next chief executive , ending peter brabeck-letmathe 's control of the world 's biggest food and drinks company .	nestle nominates ##-year-old belgian as next ceo
the number of people stricken with lead poisoning by an unregulated smelting plant in northwestern china has risen to ### , including over ### children , state press said tuesday .	lead poisoning hits ### people in northwestern china
south africa has drafted winger UNK ndungane , hooker UNK UNK and uncapped scrumhalf charl mcleod into its squad for tour-ending matches against england and the barbarians .	springboks call up UNK UNK mcleod
a scottish education authority warned students thursday not to wear the kind of nylon track suit favored by british rap comedian ali g , saying they are a fire hazard .	education body warns students against nylon track suits
american airlines said it would close the northland administrative center operated by the former trans world airlines by the middle of the year , eliminating about ### jobs remaining there .	### jobs being eliminated as american airlines closes northland
the americans ' use of depleted uranium -lrb- du -rrb- weapons in serbia is likely to cause extra deaths from cancer , a british scientist warned friday .	depleted uranium threatens balkan cancer epidemic
the visiting georgian president mikheil saakachvili has gained support for his country 's entry to the european union from his french host nicolas sarkozy .	france supports georgia 's entry to eu
asian and european stock markets slid on friday as the ###-billion-dollar us rescue bailout for the financial sector appeared in danger of becoming a political football , dealers said .	global stocks fall on uncertainty over us bailout
the police thursday night began random searches of backpacks and packages brought into the new york city subways as officials expressed alarm about the latest bomb blasts in the london transit system .	new york starts inspections of bags on subways
prince charles , who is currently in pakistan , canceled a planned tuesday trip to the border city of peshawar following monday 's pakistan military attack on a suspected terror camp that killed ## people , a british diplomat said .	prince charles cancels visit to peshawar after pakistan army attack on madrassa
european union observers raised concern tuesday about ballot counting in ivory coast 's first election since civil war erupted eight years ago , criticizing authorities for delaying the release of results and barring monitors from some centers where votes are being tabulated .	eu expresses concern over ivory coast vote count
rebuffed in last-minute attempts to reach multiyear agreements with two of their top free agents , the red sox saturday night went in separate directions with the pair , offering salary arbitration to cliff floyd and withholding it from ugueth urbina .	sox set urbina adrift ; floyd gets arbitration
johns hopkins scientists have found the first hard evidence that viral infections can help cause asthma and allergies , a connection long suspected but never directly confirmed in the lab .	new evidence links infections to allergy asthma
the u.n. refugee agency and the international red cross expressed grave concern about the plight of tens of thousands of people fleeing fighting between insurgents and u.s. troops in the iraqi city of fallujah .	aid agencies extremely concerned about refugees from fallujah
tanzania has witnessed ## plane accidents between #### and #### , according to tanzanian deputy minister for communications and transport maua daftari .	tanzania records ## plane accidents in ####-##
the kenyan government said tuesday it will soon embark on an ambitious campaign to plant ## million trees in the next five years in a bid to reverse the effects of deforestation .	kenya to plant ## million trees in five years
the florida supreme court has ruled that at least ### violent criminals can be released next week from prison for good behavior .	florida to release ### violent criminals next week
davao city , philippines , june # -lrb- xinhua -rrb- -- two leftist rebels were killed and another was wounded as they clashed with government troops in this southern philippine city on tuesday night , the military said on wednesday .	two leftist rebels killed in s. philippine clash
nicklas lidstrom and the detroit red wings agreed to a two-year contract extension wednesday that runs through the ####-## season .	red wings lidstrom agree to #-year contract extension
now that arizona has passed a ballot measure to keep illegal immigrants from obtaining some government services , groups in several other states are considering similar proposals .	other u.s. states consider immigration measures similar to arizona 's
the caretaker management of serbia 's national jat airways gave an ultimatum tuesday to mechanical and engineering staff members , who have been on strike since last week , airline company said .	caretaker management at serbia 's jat airways issues deadline to striking mechanics
the gold price in hong kong rose ## hk dollars to #,### hk dollars a tael tuesday , according to the bank of china -lrb- hong kong -rrb- , one of the major gold dealers in hong kong .	gold price in hong kong up
virginia must honor a child custody order from a vermont court issued after the breakup of a same-sex civil union there , the virginia supreme court ruled friday .	mother loses bid to void same-sex ruling in child custody
two of connecticut 's top elected democrats urged monday that $ ##.# million of the state 's budget surplus be set aside to replace all #,### mechanical voting machines in the state with a uniform electronic system .	a call for electronic voting in connecticut
u.n. agencies are hoping women staffers will be able to resume relief work with their male counterparts under rebels who have imposed islamic law in afghanistan , a senior official said monday .	u.n. agencies hoping women can resume relief work under taliban official says
cambodia 's king norodom sihanouk on wednesday offered #,### dollars in compensation to two bulgarian teenagers , seriously wounded earlier this year when police and soldiers fired on their motorcycle .	sihanouk offers foreign shooting victims #,### dollars
african teams are busy preparing for eagerly awaited start of their qualifying campaign for the #### fifa world cup south africa .	african teams prepare for weekend wc qualifiers
injuries continued to be an issue tuesday as ucla prepared for its showdown saturday with seventh-ranked oregon .	ucla injuries pile up
when a medical drama resorts to the UNK scene before the opening titles , it 's already showing signs of trouble .	bring the crash cart for this medical drama
president francois mitterrand , who leaves office next month having served a record ## years as head of state , is ending his reign ridden by cancer and with his powers and political influence considerably weakened .	mitterrand 's golden years tarnished at the end
some counterterrorism experts say the anti-muslim sentiment that has saturated the airwaves and blogs in the debate over plans for an islamic center near ground zero in lower manhattan is playing into the hands of extremists by bolstering their claims that the united states is hostile to islam .	anti-islam protest in u.s. seen as lift for extremists
iran announced tuesday that it has produced a new missile called ashura with a range of #,### miles , the semiofficial fars news agency reported .	iran announces new missile
mexico 's trade deficit declined ##.# percent to #.# billion us dollars in the first half of #### , compared with the corresponding period of last year , the finance ministry said on wednesday .	mexican trade deficit down ##.# percent in first half of ####
a local prosecutor in greece today filed charges against three petroleum trading firms for involvement in a fuel scam that has so far defrauded the state of # billion drachmas -lrb- about ## million u.s. dollars -rrb- .	# petroleum firms in greece charged with fuel scam
a women 's final four without tennessee or connecticut ? the giants of women 's college basketball , who defined the sport in this decade , are nowhere to be found with a national championship on the line .	women 's final four will have to do without regulars as lady dogs
ac milan 's argentine defender fernando redondo said wednesday he is a month away from reaching peak fitness after finally overcoming his injury problems .	redondo back on track after injury woes
barcelona midfielder gerard lopez found himself benched for his club 's uefa cup first round , first leg #-# draw at matador puchov of slovakia after coach frank rijkaard caught him using his mobile phone just before kickoff .	barca 's gerard left UNK over mobile
russian captain shamil tarpishchev predicted a tough battle in the davis cup opening round clash with belarus from friday in minsk .	russian davis cup skipper predicts tough minsk battle
a norwegian energy company applied for permission friday to build a groundbreaking natural gas power plant that an environmental group said would be the world 's first to use new technology to capture climate-damaging emissions .	norwegian group seeks permit to build groundbreaking natural gas power plant
the dollar fell against other major currencies friday , weighed down by weak economic data .	dollar lower against most other majors
sinn fein members overwhelmingly voted sunday to begin cooperating with the northern ireland police , formally abandoning their decades-old hostility to legal law and order in the british territory .	sinn fein votes to back northern ireland police for first time in history
india has offered to supply sri lanka 's oil requirements in the event of any disruption caused by a war in iraq , a senior government minister said thursday .	sri lanka banks on indian oil in case of war in iraq
didier deschamps will take over as marseille coach from eric gerets next season .	deschamps to take over as marseille coach
britain 's defense minister said on thursday that the united nations should withdraw its troops from bosnia , perhaps by this fall , if bosnian serbs continued to challenge the u.n. mission there .	as nato tries to agree on a strategy briton hints at u.n. pullout
dutch authorities have arrested five men and a woman suspected of recruiting volunteers for a jihad -lrb- holy war -rrb- in a probe into an international islamic terror network , the prosecutor 's office said tuesday .	six terrorism suspects arrested in the netherlands
tucker carlson , a reporter for the conservative magazine the weekly standard and a cnn political commentator , was detained briefly by vietnamese authorities in ho chi minh city , who questioned his travel documents , a spokeswoman for the magazine said friday .	weekly standard writer detained
a suicide car bomber struck an iraqi security checkpoint in the dhuluiyah town north of baghdad on saturday , wounding two policemen , a police source said .	suicide car bomb hits checkpoint north of baghdad
the rear car of a southbound a train derailed in a subway tunnel in harlem on thursday night as the train passed through the ###th street station at st. nicholas avenue , injuring ## people , knocking over support pillars in the station and twisting the rear car into a jumbled wreck of sheared metal , police and fire officials said .	## subway passengers are injured in harlem when trail derails in
massachusetts institute of technology researchers made a ##-watt light bulb glow by sending it energy wirelessly -- from a device # feet -lrb- #.## meters -rrb- away -- potentially heralding a future in which cell phones and other gadgets get their juice without having to be plugged in .	mit experiment heralds future of gadgets that can be recharged wirelessly
tottenham manager gerry francis commands # million pounds -lrb- #.# million dollars -rrb- to buy players to kickstart his poor start to their premiership campaign .	francis must find signings for spurs
a top u.s. envoy said wednesday he hopes to win north korea 's agreement on when it will hand over a long-delayed declaration of all its nuclear programs for eventual dismantlement .	us hopes to win north korea s agreement on timing of long-delayed nuclear declaration
german-us auto maker daimlerchrysler is close to reaching an agreement regarding the sale of its ##-percent stake in debis UNK , a dutch aircraft leasing firm , a company spokesman said on monday .	daimlerchrysler nears sale of stake in debis UNK
brian UNK was elected president of the professional golfers ' association of america , succeeding roger warren .	UNK elected president of pga of america
two dozen members of a white supremacist group marched through downtown saturday , saying they have n't been defeated despite a $ #.# million judgment in a civil rights lawsuit that cost them their ##-acre compound .	aryan group loses case holds march
tokyo stocks edged down thursday morning , taking a cue from a sharp decline on wall street overnight .	tokyo stocks down u.s. dollar up against yen
hajime meshiai rallied past defending champion masashi `` jumbo '' ozaki with an #-under-par ## sunday , edging his off-season coach by one stroke in the token corporation cup , the japan pga 's season opener .	meshiai edges ozaki in token corporation cup
the u.s. dollar was trading at ###.## yen on the tokyo foreign exchange market at # p.m. -lrb- #### gmt -rrb- monday , down #.## yen from late friday .	dollar lower against yen in tokyo
a man accused of accepting $ #.# million to act as a paid plaintiff in a major lawsuit kickback scheme was sentenced monday to three months in prison .	man sentenced in la in lawsuit kickback scheme
austria 's verbund power utility says it has started building a euro### million -lrb- $ ### million -rrb- hydropower station in albania .	austrian utility builds power station in albania
american college-bound ken UNK bowed out of his hometown tennis tournament thursday , beaten #-# , #-# by paraguay 's ramon delgado in the liverpool round-robin grass-court event .	UNK heads for louisiana after hometown losses
a british soldier was killed during operations over the weekend in afghanistan 's restive south in the fourth such death over five days , the defense ministry said monday .	british soldier killed in afghanistan
tiger woods surpassed even his own expectations by winning his ##th major title last sunday at the british open , the ##-year-old golf star said on his website thursday .	woods surpasses wildest dreams with ##th major title
the international `` design ## beijing exhibition '' is to be held in september #-## in the museum of chinese history in beijing , which is expected to become a world fashion center in the future .	##st century fashion design beijing exhibition
oil minister safa jawad UNK said sunday that iraq hopes to start signing exploration and production contracts with western companies within two months .	oil minister outlines iraqi production goals development plans
wall street profited thursday morning from roll backs in long-term interest rates on the bond market following the release of increased us retail sales numbers for june .	wall street profits from roll back of long-term interest rates
measures to better protect ships , crews and ports from terrorist threats were formally adopted friday at a meeting of the international maritime organisation -lrb- imo -rrb- , officials at the un agency said .	un agency takes steps to beef up ship security
a soyuz tma-# rocket with american astronaut edward lu and russian cosmonaut yuri malenchenko aboard blasted off for the international space station on saturday on a mission intended to keep space exploration going despite the columbia tragedy .	russian rocket with russian cosmonaut and u.s. astronaut blasts off to international space station
indonesian troops shot dead ## suspected separatist rebels in a single day in the restive province of aceh , the military said wednesday .	indonesian troops shoot dead ## separatist rebels in latest aceh violence
nortel networks corp. , continuing an effort to turn around its struggling operations , on wednesday said it will cut about #,### jobs this year and next in an effort to save about us$ ### million -lrb- euro### million -rrb- a year .	nortel to cut #,### jobs most in #### in cost-cutting effort
china will give priority to the scientific advancement of the chemical industry in the forthcoming ninth five-year plan period -lrb- ####-#### -rrb- .	priority given to scientific advancement of chemical industry
the bulgarian national assembly passed a resolution today to allow foreign military forces to hold war games in this country .	bulgaria to boost military ties with other countries
the death of an ##-year-old woman brought to three the number people who have died from legionnaires ' disease in spain this month , a health department official said .	three die of legionnaires disease in spain
if you 're a food enthusiast , here are some nearby b&amp;b s where breakfast is a big deal -lrb- and included in the room rate -rrb- .	# mid-atlantic b&amp;b s
australian brett martin reached his second hong kong open final when he upset compatriot and second-seed rodney eyles ##-## , ##-## , ##-## , #-## , ##-## in the semi-finals here saturday .	martin upsets eyles in hong kong open
the israeli government gave the go-ahead sunday to a plan to create an artificial island off the mediterranean coast to serve as a residential and shopping area , public radio here said .	israel to expand westward on artificial island
italian police arrested ## people on monday for suspected mafia involvement in a massive operation rolled out across italy to break the UNK organised crime ` family ' , the paramilitary carabinieri said .	## arrested in massive anti-mafia operation
the international monetary fund -lrb- imf -rrb- announced friday the approval of the third annual loan for mali under the enhanced structural adjustment facility -lrb- esaf -rrb- , equivalent to about ## million u.s. dollars .	imf okays third annual esaf loan for mali
a court on friday convicted a fifth police officer , who avoided court hearings for years , of torturing a university student to death and sentenced him to four years and five months in prison , private ntv television said .	turkish court sentences police officer to prison for torturing student
an avalanche killed at least five people in village in the south of this mountainous central asian nation , officials said monday .	avalanche in tajikistan kills five
listen to some of the comments usc quarterback matt leinart made the past four weeks and it does n't sound like a heisman trophy winner .	struggles have leinart thrown for a loss
scottie pippen and michael jordan scored ## points each as the chicago bulls pulled away from the boston celtics in the fourth quarter tuesday night for their ##th straight win , ###-### .	bulls beat celtics ###-###
wayne rooney missed manchester united 's #-# draw at former club everton on saturday because manager alex ferguson feared fans would abuse the striker who is facing an alleged sex scandal .	united rests rooney to save him from everton abuse
nato started a process friday to update its outdated mission statement to focus on handling a resurgent russia and threats such as piracy , terrorism and cyber attacks around the world .	nato launches study to redefine mission statement
three men have been charged with murdering a senior editor for pc world magazine in what police said was an attempt to steal marijuana that the victim 's son grew in their home for medical use .	# charged with killing pc world editor in alleged plot to steal son s medicinal marijuana
jonathan larson 's rock musical `` rent '' was conceived seven years ago on a sticky summer night .	the seven-year odyssey that led to rent
washington -- as the white house searches to replace john j. diiulio jr. , head of the white house office on faith-based and community initiatives , senior aides to the president are disputing rumors that he was forced out .	UNK denies he was forced out supporters bemoan loss
the major european stock markets ended mixed thursday as the specter of higher us borrowing costs hit rate-sensitive banks and tech issues again , but the stronger dollar supported exporters such as drugmakers and car makers .	major european stock markets end mixed
michael jordan is prepared to forgo a return to the nba if his comeback preparations do n't progress as quickly as he 'd like .	jordan says return to nba remains uncertain
major league baseball games are coming to china for the first time , with the los angeles dodgers and san diego padres to play exhibition games on march ##-## at the baseball venue for the #### olympics .	dodgers and padres to play exhibition games in beijing
in one ruling , the court said makers of medical devices , such as heart valves or pacemakers , can not be sued by injured patients if the food and drug administration had approved the devices for sale .	supreme court decisions favor businesses
australian foreign minister alexander downer will head to the solomons islands friday as part of a commonwealth mission to try to bring an end to fighting there .	australian fm to head to solomons fiji visit off
police raided an alleged hideout of the radical leftist red brigades terrorist group saturday , finding explosives and arms weeks after major sweeps that picked up nine people linked to the notorious organization .	police find alleged red brigades hideout
mexican president felipe calderon urged the united states thursday to launch a `` thorough , impartial '' probe into the deaths of two mexican nationals , including a ##-year-old boy , at the hands of us border police .	mexican president demands us probe of teen 's death
the council of europe was set thursday to suspend membership talks with russia until russia stops its war against the breakaway republic of chechnya .	council of europe to suspend membership talks with russia over
the UNK candidates in the california recall election will be invited to a single debate hosted by the state 's broadcasters next month , giving voters here perhaps their only chance to see the field vying to replace gov. gray davis , d , mix it up together on live television .	california 's single debate to feature only
four people in germany have shown signs of contamination with polonium ### , police said on monday , after traces of the highly radioactive substance were found in homes used by a contact of poisoned former russian spy alexander litvinenko .	signs of polonium contamination on four people in germany
more than #,### protesters rallied in guangzhou and hong kong on sunday against what they say is china 's bid to champion the national language mandarin over their local dialect cantonese .	hong kong people rally to save cantonese language
wyche fowler arrived in saudi arabia not long after a deadly bombing at a u.s. military facility .	q and a with u.s. ambassador UNK fowler
in oliver stone 's entertaining if contradictory drama `` wall street : money never sleeps , '' shia labeouf plays jake moore .	wall street reprise has some surprises
the iceland government wanted the nordic countries to confirm whether they would grant loans to iceland despite the icelandic president 's decision to veto the icesave legislation early this month , according to reports reaching here from reykjavik on monday .	iceland wants nordic neighbors to confirm their loans
a classic-car broker who swindled actor nicolas cage and other clients before he was caught in spain was sentenced tuesday to five years in prison and $ #.# million -lrb- euro# .## million -rrb- in restitution .	car broker who bilked nicolas cage others gets #-year term
the dollar was quoted at ###.##-## yen here early wednesday , up from ###.## yen tuesday afternoon but down from ###.## yen in new york late tuesday .	dollar at ###.##-## yen in early tokyo trading
hong kong police formally commissioned five ultra-high-speed interceptor boats monday in an effort to stage more effective attacks on marine criminal acts .	hk police commission state-of-the-art speedboats
germany 's center-left social democrats on saturday endorsed the country 's continued participation in the u.s.-led operation enduring freedom against terrorism , even as rising violence in afghanistan fuels public skepticism .	german social democrats endorse renewing military s anti-terror mandate
